ver_format,fmt_opt,app,ver_app,device_id,tick,date,time,device,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_t0,s_h0,gps_lat,gps_lon,gps_fix,gps_num,gps_alt
3,1,AirBox,0.35.2,74DA38AF47D6,1513795427,2017-12-21,02:43:47,GreenDiamond2nd,8522,100,1,0,4,5,3,19.37,62,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513798475,2017-12-21,03:34:35,GreenDiamond2nd,8530,100,1,0,3,5,2,19.25,63,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513799977,2017-12-21,03:59:37,GreenDiamond2nd,8534,100,1,0,4,5,3,19.25,63,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513800718,2017-12-21,04:11:58,GreenDiamond2nd,8536,100,1,0,4,5,3,19.25,63,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513801474,2017-12-21,04:24:34,GreenDiamond2nd,8538,100,1,0,4,5,3,19.25,63,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513804085,2017-12-21,05:08:05,GreenDiamond2nd,8545,100,1,0,6,6,4,19.5,63,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513806305,2017-12-21,05:45:05,GreenDiamond2nd,8551,100,1,0,9,10,7,19.62,62,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513809275,2017-12-21,06:34:35,GreenDiamond2nd,8559,100,1,0,12,13,10,19.75,61,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513810019,2017-12-21,06:46:59,GreenDiamond2nd,8561,100,1,0,13,14,11,19.75,61,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38AF47D6,1513814020,2017-12-21,07:53:40,GreenDiamond2nd,8572,100,1,0,17,19,14,19.62,62,24.966,121.515,1,9,2
3,1,AirBox,0.35.2,74DA38E2B778,1513795973,2017-12-21,02:52:53,前鎮區台鋁十一巷,3341,100,1,0,33,38,24,20.75,54,22.609,120.311,1,9,2
3,1,AirBox,0.35.2,74DA38E2B778,1513798896,2017-12-21,03:41:36,前鎮區台鋁十一巷,3349,100,1,0,35,40,25,21.62,52,22.609,120.311,1,9,2
3,1,AirBox,0.35.2,74DA38E2B778,1513800360,2017-12-21,04:06:00,前鎮區台鋁十一巷,3353,100,1,0,35,40,25,21.62,53,22.609,120.311,1,9,2
3,1,AirBox,0.35.2,74DA38E2B778,1513801823,2017-12-21,04:30:23,前鎮區台鋁十一巷,3357,100,1,0,38,44,26,21.5,53,22.609,120.311,1,9,2
3,1,AirBox,0.35.2,74DA38E2B778,1513804037,2017-12-21,05:07:17,前鎮區台鋁十一巷,3363,100,1,0,69,81,51,20.75,55,22.609,120.311,1,9,2
3,1,AirBox,0.35.2,74DA38E2B778,1513812487,2017-12-21,07:28:07,前鎮區台鋁十一巷,3386,100,1,0,43,51,31,21,55,22.609,120.311,1,9,2
3,1,AirBox,0.35.2,74DA38E2B778,1513813973,2017-12-21,07:52:53,前鎮區台鋁十一巷,3390,100,1,0,46,57,33,21.62,54,22.609,120.311,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513791621,2017-12-21,01:40:21,324,6058,100,1,0,2,3,2,25.39,30,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513791956,2017-12-21,01:45:56,324,6059,100,1,0,2,3,2,25.38,30,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513792291,2017-12-21,01:51:31,324,6060,100,1,0,2,3,2,25.35,30,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513793631,2017-12-21,02:13:51,324,6064,100,1,0,2,3,2,25.42,30,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513794301,2017-12-21,02:25:01,324,6066,100,1,0,2,3,2,25.35,30,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513796646,2017-12-21,03:04:06,324,6073,100,1,0,2,2,2,25.34,30,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513799996,2017-12-21,03:59:56,324,6083,100,1,0,2,3,2,25.63,29,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513806365,2017-12-21,05:46:05,324,6102,100,1,0,3,3,2,25.79,29,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513808711,2017-12-21,06:25:11,324,6109,100,1,0,3,4,2,25.7,29,25.062,121.582,1,9,2
3,1,AirBox,1.0.8,74DA38E2B8F4,1513809047,2017-12-21,06:30:47,324,6110,100,1,0,3,5,3,25.69,29,25.062,121.582,1,9,2
